release_note_id,review_id,similarity,lcs_length,time_diff_days,release_note,review
slack-254,180ba52a-a21a-49bf-bfbb-0f29fe8a511d,0.5799671745300294,2,39,"Fixed: Attempting to change your notification settings for a specific channel would routinely fail. Not in an entertaining way, or the sort that teaches you something important on your way to greater heights. It just didn't do the thing it was designed to do. Sometimes misfortune carries with it no lesson. Anyway, it works again.",Notification settings never work properly
slack-251,1ab432fa-a383-47cf-a787-3f4aebf091c3,0.5317552634647915,2,191,"Fixed: Uploading a new profile picture was sometimes failing, leaving people stuck with their old ones like an unfortunate driver's license photo. Contrary to popular belief, we've never aspired for Slack to feel like going to the DMV, so retake that photo to your heart's content.",Profile picture never updates on this app.
slack-251,c5be5499-ec86-4581-b4ef-cdffc09019df,0.5189905643463135,2,29,"Fixed: Uploading a new profile picture was sometimes failing, leaving people stuck with their old ones like an unfortunate driver's license photo. Contrary to popular belief, we've never aspired for Slack to feel like going to the DMV, so retake that photo to your heart's content.",I'm not able to set my profile picture.
slack-254,a39f9632-641e-416f-9a65-8793df9595b6,0.4713375012079875,3,270,"Fixed: Attempting to change your notification settings for a specific channel would routinely fail. Not in an entertaining way, or the sort that teaches you something important on your way to greater heights. It just didn't do the thing it was designed to do. Sometimes misfortune carries with it no lesson. Anyway, it works again.","Installed to join a specific channel, but can't get to that channel. Can't get to any channels. Useless."
slack-252,180ba52a-a21a-49bf-bfbb-0f29fe8a511d,0.4628699111938477,1,53,"Fixed: On certain devices, tapping on a notification could lead to a weird state where backing out of a thread would always return you to that message from the notification you tapped. It was a phenomenon as confusing to witness as it is to explain, and we'll all be pleased to never have to experience it again.",Notification settings never work properly
slack-254,6b45f8e7-fd5f-4d88-97f4-b94262e68dba,0.45921564499537154,1,363,"Fixed: Attempting to change your notification settings for a specific channel would routinely fail. Not in an entertaining way, or the sort that teaches you something important on your way to greater heights. It just didn't do the thing it was designed to do. Sometimes misfortune carries with it no lesson. Anyway, it works again.",There notification system doesn't work correctly
slack-252,f6b5eaaf-5662-489a-a98e-d96fd5f94172,0.4361003227233887,2,182,"Fixed: On certain devices, tapping on a notification could lead to a weird state where backing out of a thread would always return you to that message from the notification you tapped. It was a phenomenon as confusing to witness as it is to explain, and we'll all be pleased to never have to experience it again.","A commonly occurring problem is that messages often show up in the notification bar, but won't show up once inside the app despite multiple refreshes."
slack-254,07672865-78cb-4c9d-a44f-a9ddd31786c7,0.4280311822891235,1,300,"Fixed: Attempting to change your notification settings for a specific channel would routinely fail. Not in an entertaining way, or the sort that teaches you something important on your way to greater heights. It just didn't do the thing it was designed to do. Sometimes misfortune carries with it no lesson. Anyway, it works again.",There is no notification on android device and can't see the message on time. Pathetic experience
slack-251,b5c768f1-4d2a-4022-b0fb-73ef00441476,0.4258072681427002,2,92,"Fixed: Uploading a new profile picture was sometimes failing, leaving people stuck with their old ones like an unfortunate driver's license photo. Contrary to popular belief, we've never aspired for Slack to feel like going to the DMV, so retake that photo to your heart's content.","Still unable to change profile picture with new update, which is the only reason I got the mobile app. Unsure why it was taken off."
slack-252,d2b5d44d-334e-402c-8981-369f2afa6fa8,0.4245642071184905,3,210,"Fixed: On certain devices, tapping on a notification could lead to a weird state where backing out of a thread would always return you to that message from the notification you tapped. It was a phenomenon as confusing to witness as it is to explain, and we'll all be pleased to never have to experience it again.",Bug . Open app from the notification bar. Type in reply. Press back. And its looping with the same screen and not getting exit.
slack-252,6f3447bb-74e3-48df-b045-89864a277e3c,0.42046654116023674,2,238,"Fixed: On certain devices, tapping on a notification could lead to a weird state where backing out of a thread would always return you to that message from the notification you tapped. It was a phenomenon as confusing to witness as it is to explain, and we'll all be pleased to never have to experience it again.",App will not send notifications for new messages unless you open the app (swiping the notification does nothing) and view every message.
slack-254,4a8b6b2d-9f2a-4770-8f93-1f97bfc2b80d,0.41900360697791694,1,118,"Fixed: Attempting to change your notification settings for a specific channel would routinely fail. Not in an entertaining way, or the sort that teaches you something important on your way to greater heights. It just didn't do the thing it was designed to do. Sometimes misfortune carries with it no lesson. Anyway, it works again.",You app doesn't even show notification. I missed so many important messages. Even after applying all settings this is not working.
slack-252,b04a4df9-84b2-4a41-8fe3-e4ed0247b046,0.4156574296951294,1,152,"Fixed: On certain devices, tapping on a notification could lead to a weird state where backing out of a thread would always return you to that message from the notification you tapped. It was a phenomenon as confusing to witness as it is to explain, and we'll all be pleased to never have to experience it again.",Notification issues are there often
slack-254,2821e7a3-a591-4eb6-86c9-5721618e3691,0.4139949401219686,1,178,"Fixed: Attempting to change your notification settings for a specific channel would routinely fail. Not in an entertaining way, or the sort that teaches you something important on your way to greater heights. It just didn't do the thing it was designed to do. Sometimes misfortune carries with it no lesson. Anyway, it works again.","Has got lot of bugs like loading failure, no notification, no refresh"
slack-252,d9cafaa0-306f-4515-8693-6b214c26188b,0.40562918186187746,1,50,"Fixed: On certain devices, tapping on a notification could lead to a weird state where backing out of a thread would always return you to that message from the notification you tapped. It was a phenomenon as confusing to witness as it is to explain, and we'll all be pleased to never have to experience it again.",Iam not recieving any notification. I uninstalled and installed again and now not able to login
slack-254,c1b0c853-bd29-4a3a-a9fa-c05490e76057,0.40560581824358777,1,41,"Fixed: Attempting to change your notification settings for a specific channel would routinely fail. Not in an entertaining way, or the sort that teaches you something important on your way to greater heights. It just didn't do the thing it was designed to do. Sometimes misfortune carries with it no lesson. Anyway, it works again.","Notification is not reliable. Sometimes it is late. Already lock in recent, disable battery optimization, allow startup"
